"Statistic Label","Year","Nace Rev 2 Activity","UNIT","VALUE"
"Turnover - Factored goods","2020","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Turnover - Factored goods","2020","Construction of roads and railways (421)","Euro Thousand",""
"Turnover - Factored goods","2020","Construction of utility projects (422)","Euro Thousand",""
"Turnover - Factored goods","2020","Construction of other civil engineering projects (429)","Euro Thousand",""
"Turnover - Factored goods","2020","Demolition and site preparation (431)","Euro Thousand",""
"Turnover - Factored goods","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Turnover - Factored goods","2020","Building completion and finishing (433)","Euro Thousand",""
"Turnover - Factored goods","2020","Other specialised construction activities (439)","Euro Thousand",""
"Turnover - Factored goods","2020","Construction (41 to 43)","Euro Thousand",""
"Turnover - Other","2019","Development of building projects (411)","Euro Thousand",""
"Turnover - Other","2019","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Turnover - Other","2019","Construction of roads and railways (421)","Euro Thousand",""
"Turnover - Other","2019","Construction of utility projects (422)","Euro Thousand",""
"Turnover - Other","2019","Construction of other civil engineering projects (429)","Euro Thousand",""
"Turnover - Other","2019","Demolition and site preparation (431)","Euro Thousand",""
"Turnover - Other","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Turnover - Other","2019","Building completion and finishing (433)","Euro Thousand",""
"Turnover - Other","2019","Other specialised construction activities (439)","Euro Thousand",""
"Turnover - Other","2019","Construction (41 to 43)","Euro Thousand",""
"Turnover - Other","2020","Development of building projects (411)","Euro Thousand",""
"Turnover - Other","2020","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Turnover - Other","2020","Construction of roads and railways (421)","Euro Thousand",""
"Turnover - Other","2020","Construction of utility projects (422)","Euro Thousand",""
"Turnover - Other","2020","Construction of other civil engineering projects (429)","Euro Thousand",""
"Turnover - Other","2020","Demolition and site preparation (431)","Euro Thousand",""
"Turnover - Other","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Turnover - Other","2020","Building completion and finishing (433)","Euro Thousand",""
"Turnover - Other","2020","Other specialised construction activities (439)","Euro Thousand",""
"Turnover - Other","2020","Construction (41 to 43)","Euro Thousand",""
"Turnover - Total","2019","Development of building projects (411)","Euro Thousand","3213635"
"Turnover - Total","2019","Construction of residential and non-residential buildings (412)","Euro Thousand","10217439"
"Turnover - Total","2019","Construction of roads and railways (421)","Euro Thousand","916537"
"Turnover - Total","2019","Construction of utility projects (422)","Euro Thousand","548073"
"Turnover - Total","2019","Construction of other civil engineering projects (429)","Euro Thousand","658348"
"Turnover - Total","2019","Demolition and site preparation (431)","Euro Thousand","423200"
"Turnover - Total","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","6204282"
"Turnover - Total","2019","Building completion and finishing (433)","Euro Thousand","3078074"
"Turnover - Total","2019","Other specialised construction activities (439)","Euro Thousand","2799672"
"Turnover - Total","2019","Construction (41 to 43)","Euro Thousand","28059258"
"Turnover - Total","2020","Development of building projects (411)","Euro Thousand","4405722"
"Turnover - Total","2020","Construction of residential and non-residential buildings (412)","Euro Thousand","10435971"
"Turnover - Total","2020","Construction of roads and railways (421)","Euro Thousand","878939"
"Turnover - Total","2020","Construction of utility projects (422)","Euro Thousand","596022"
"Turnover - Total","2020","Construction of other civil engineering projects (429)","Euro Thousand","641160"
"Turnover - Total","2020","Demolition and site preparation (431)","Euro Thousand","679246"
"Turnover - Total","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","6147140"
"Turnover - Total","2020","Building completion and finishing (433)","Euro Thousand","2724390"
"Turnover - Total","2020","Other specialised construction activities (439)","Euro Thousand","2687539"
"Turnover - Total","2020","Construction (41 to 43)","Euro Thousand","29196130"
"Payments to other subcontractors","2019","Development of building projects (411)","Euro Thousand",""
"Payments to other subcontractors","2019","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Payments to other subcontractors","2019","Construction of roads and railways (421)","Euro Thousand",""
"Payments to other subcontractors","2019","Construction of utility projects (422)","Euro Thousand",""
"Payments to other subcontractors","2019","Construction of other civil engineering projects (429)","Euro Thousand",""
"Payments to other subcontractors","2019","Demolition and site preparation (431)","Euro Thousand",""
"Payments to other subcontractors","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Payments to other subcontractors","2019","Building completion and finishing (433)","Euro Thousand",""
"Payments to other subcontractors","2019","Other specialised construction activities (439)","Euro Thousand",""
"Payments to other subcontractors","2019","Construction (41 to 43)","Euro Thousand",""
"Payments to other subcontractors","2020","Development of building projects (411)","Euro Thousand",""
"Payments to other subcontractors","2020","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Payments to other subcontractors","2020","Construction of roads and railways (421)","Euro Thousand",""
"Payments to other subcontractors","2020","Construction of utility projects (422)","Euro Thousand",""
"Payments to other subcontractors","2020","Construction of other civil engineering projects (429)","Euro Thousand",""
"Payments to other subcontractors","2020","Demolition and site preparation (431)","Euro Thousand",""
"Payments to other subcontractors","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Payments to other subcontractors","2020","Building completion and finishing (433)","Euro Thousand",""
"Payments to other subcontractors","2020","Other specialised construction activities (439)","Euro Thousand",""
"Payments to other subcontractors","2020","Construction (41 to 43)","Euro Thousand",""
"Turnover less payments to subcontractors","2019","Development of building projects (411)","Euro Thousand",""
"Turnover less payments to subcontractors","2019","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Turnover less payments to subcontractors","2019","Construction of roads and railways (421)","Euro Thousand",""
"Turnover less payments to subcontractors","2019","Construction of utility projects (422)","Euro Thousand",""
"Turnover less payments to subcontractors","2019","Construction of other civil engineering projects (429)","Euro Thousand",""
"Turnover less payments to subcontractors","2019","Demolition and site preparation (431)","Euro Thousand",""
"Turnover less payments to subcontractors","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Turnover less payments to subcontractors","2019","Building completion and finishing (433)","Euro Thousand",""
"Turnover less payments to subcontractors","2019","Other specialised construction activities (439)","Euro Thousand",""
"Turnover less payments to subcontractors","2019","Construction (41 to 43)","Euro Thousand",""
"Turnover less payments to subcontractors","2020","Development of building projects (411)","Euro Thousand",""
"Turnover less payments to subcontractors","2020","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Turnover less payments to subcontractors","2020","Construction of roads and railways (421)","Euro Thousand",""
"Turnover less payments to subcontractors","2020","Construction of utility projects (422)","Euro Thousand",""
"Turnover less payments to subcontractors","2020","Construction of other civil engineering projects (429)","Euro Thousand",""
"Turnover less payments to subcontractors","2020","Demolition and site preparation (431)","Euro Thousand",""
"Turnover less payments to subcontractors","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Turnover less payments to subcontractors","2020","Building completion and finishing (433)","Euro Thousand",""
"Turnover less payments to subcontractors","2020","Other specialised construction activities (439)","Euro Thousand",""
"Turnover less payments to subcontractors","2020","Construction (41 to 43)","Euro Thousand",""
"Assets made for own use","2019","Development of building projects (411)","Euro Thousand",""
"Assets made for own use","2019","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Assets made for own use","2019","Construction of roads and railways (421)","Euro Thousand",""
"Assets made for own use","2019","Construction of utility projects (422)","Euro Thousand",""
"Assets made for own use","2019","Construction of other civil engineering projects (429)","Euro Thousand",""
"Assets made for own use","2019","Demolition and site preparation (431)","Euro Thousand",""
"Assets made for own use","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Assets made for own use","2019","Building completion and finishing (433)","Euro Thousand",""
"Assets made for own use","2019","Other specialised construction activities (439)","Euro Thousand",""
"Assets made for own use","2019","Construction (41 to 43)","Euro Thousand",""
"Assets made for own use","2020","Development of building projects (411)","Euro Thousand",""
"Assets made for own use","2020","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Assets made for own use","2020","Construction of roads and railways (421)","Euro Thousand",""
"Assets made for own use","2020","Construction of utility projects (422)","Euro Thousand",""
"Assets made for own use","2020","Construction of other civil engineering projects (429)","Euro Thousand",""
"Assets made for own use","2020","Demolition and site preparation (431)","Euro Thousand",""
"Assets made for own use","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Assets made for own use","2020","Building completion and finishing (433)","Euro Thousand",""
"Assets made for own use","2020","Other specialised construction activities (439)","Euro Thousand",""
"Assets made for own use","2020","Construction (41 to 43)","Euro Thousand",""
"Purchases - Materials and energy","2019","Development of building projects (411)","Euro Thousand",""
"Purchases - Materials and energy","2019","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Purchases - Materials and energy","2019","Construction of roads and railways (421)","Euro Thousand",""
"Purchases - Materials and energy","2019","Construction of utility projects (422)","Euro Thousand",""
"Purchases - Materials and energy","2019","Construction of other civil engineering projects (429)","Euro Thousand",""
"Purchases - Materials and energy","2019","Demolition and site preparation (431)","Euro Thousand",""
"Purchases - Materials and energy","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Purchases - Materials and energy","2019","Building completion and finishing (433)","Euro Thousand",""
"Purchases - Materials and energy","2019","Other specialised construction activities (439)","Euro Thousand",""
"Purchases - Materials and energy","2019","Construction (41 to 43)","Euro Thousand",""
"Purchases - Materials and energy","2020","Development of building projects (411)","Euro Thousand",""
"Purchases - Materials and energy","2020","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Purchases - Materials and energy","2020","Construction of roads and railways (421)","Euro Thousand",""
"Purchases - Materials and energy","2020","Construction of utility projects (422)","Euro Thousand",""
"Purchases - Materials and energy","2020","Construction of other civil engineering projects (429)","Euro Thousand",""
"Purchases - Materials and energy","2020","Demolition and site preparation (431)","Euro Thousand",""
"Purchases - Materials and energy","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Purchases - Materials and energy","2020","Building completion and finishing (433)","Euro Thousand",""
"Purchases - Materials and energy","2020","Other specialised construction activities (439)","Euro Thousand",""
"Purchases - Materials and energy","2020","Construction (41 to 43)","Euro Thousand",""
"Purchases - Industrial services","2019","Development of building projects (411)","Euro Thousand",""
"Purchases - Industrial services","2019","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Purchases - Industrial services","2019","Construction of roads and railways (421)","Euro Thousand",""
"Purchases - Industrial services","2019","Construction of utility projects (422)","Euro Thousand",""
"Purchases - Industrial services","2019","Construction of other civil engineering projects (429)","Euro Thousand",""
"Purchases - Industrial services","2019","Demolition and site preparation (431)","Euro Thousand",""
"Purchases - Industrial services","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Purchases - Industrial services","2019","Building completion and finishing (433)","Euro Thousand",""
"Purchases - Industrial services","2019","Other specialised construction activities (439)","Euro Thousand",""
"Purchases - Industrial services","2019","Construction (41 to 43)","Euro Thousand",""
"Purchases - Industrial services","2020","Development of building projects (411)","Euro Thousand",""
"Purchases - Industrial services","2020","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Purchases - Industrial services","2020","Construction of roads and railways (421)","Euro Thousand",""
"Purchases - Industrial services","2020","Construction of utility projects (422)","Euro Thousand",""
"Purchases - Industrial services","2020","Construction of other civil engineering projects (429)","Euro Thousand",""
"Purchases - Industrial services","2020","Demolition and site preparation (431)","Euro Thousand",""
"Purchases - Industrial services","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Purchases - Industrial services","2020","Building completion and finishing (433)","Euro Thousand",""
"Purchases - Industrial services","2020","Other specialised construction activities (439)","Euro Thousand",""
"Purchases - Industrial services","2020","Construction (41 to 43)","Euro Thousand",""
"Purchases - Factored goods","2019","Development of building projects (411)","Euro Thousand","7"
"Purchases - Factored goods","2019","Construction of residential and non-residential buildings (412)","Euro Thousand","24"
"Purchases - Factored goods","2019","Construction of roads and railways (421)","Euro Thousand","0"
"Purchases - Factored goods","2019","Construction of utility projects (422)","Euro Thousand","0"
"Purchases - Factored goods","2019","Construction of other civil engineering projects (429)","Euro Thousand","0"
"Purchases - Factored goods","2019","Demolition and site preparation (431)","Euro Thousand","1191"
"Purchases - Factored goods","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","27035"
"Purchases - Factored goods","2019","Building completion and finishing (433)","Euro Thousand","10364"
"Purchases - Factored goods","2019","Other specialised construction activities (439)","Euro Thousand","9218"
"Purchases - Factored goods","2019","Construction (41 to 43)","Euro Thousand","47838"
"Purchases - Factored goods","2020","Development of building projects (411)","Euro Thousand","1660"
"Purchases - Factored goods","2020","Construction of residential and non-residential buildings (412)","Euro Thousand","4693"
"Purchases - Factored goods","2020","Construction of roads and railways (421)","Euro Thousand","158"
"Purchases - Factored goods","2020","Construction of utility projects (422)","Euro Thousand","423"
"Purchases - Factored goods","2020","Construction of other civil engineering projects (429)","Euro Thousand","133"
"Purchases - Factored goods","2020","Demolition and site preparation (431)","Euro Thousand","1297"
"Purchases - Factored goods","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","16907"
"Purchases - Factored goods","2020","Building completion and finishing (433)","Euro Thousand","5698"
"Purchases - Factored goods","2020","Other specialised construction activities (439)","Euro Thousand","5050"
"Purchases - Factored goods","2020","Construction (41 to 43)","Euro Thousand","36019"
"Purchases - Other goods/services","2019","Development of building projects (411)","Euro Thousand",""
"Purchases - Other goods/services","2019","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Purchases - Other goods/services","2019","Construction of roads and railways (421)","Euro Thousand",""
"Purchases - Other goods/services","2019","Construction of utility projects (422)","Euro Thousand",""
"Purchases - Other goods/services","2019","Construction of other civil engineering projects (429)","Euro Thousand",""
"Purchases - Other goods/services","2019","Demolition and site preparation (431)","Euro Thousand",""
"Purchases - Other goods/services","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Purchases - Other goods/services","2019","Building completion and finishing (433)","Euro Thousand",""
"Purchases - Other goods/services","2019","Other specialised construction activities (439)","Euro Thousand",""
"Purchases - Other goods/services","2019","Construction (41 to 43)","Euro Thousand",""
"Purchases - Other goods/services","2020","Development of building projects (411)","Euro Thousand",""
"Purchases - Other goods/services","2020","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Purchases - Other goods/services","2020","Construction of roads and railways (421)","Euro Thousand",""
"Purchases - Other goods/services","2020","Construction of utility projects (422)","Euro Thousand",""
"Purchases - Other goods/services","2020","Construction of other civil engineering projects (429)","Euro Thousand",""
"Purchases - Other goods/services","2020","Demolition and site preparation (431)","Euro Thousand",""
"Purchases - Other goods/services","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Purchases - Other goods/services","2020","Building completion and finishing (433)","Euro Thousand",""
"Purchases - Other goods/services","2020","Other specialised construction activities (439)","Euro Thousand",""
"Purchases - Other goods/services","2020","Construction (41 to 43)","Euro Thousand",""
"Purchases - Total","2019","Development of building projects (411)","Euro Thousand","3890611"
"Purchases - Total","2019","Construction of residential and non-residential buildings (412)","Euro Thousand","10838193"
"Purchases - Total","2019","Construction of roads and railways (421)","Euro Thousand","945578"
"Purchases - Total","2019","Construction of utility projects (422)","Euro Thousand","532572"
"Purchases - Total","2019","Construction of other civil engineering projects (429)","Euro Thousand","517523"
"Purchases - Total","2019","Demolition and site preparation (431)","Euro Thousand","311527"
"Purchases - Total","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","5630725"
"Purchases - Total","2019","Building completion and finishing (433)","Euro Thousand","2787627"
"Purchases - Total","2019","Other specialised construction activities (439)","Euro Thousand","2469516"
"Purchases - Total","2019","Construction (41 to 43)","Euro Thousand","27923872"
"Purchases - Total","2020","Development of building projects (411)","Euro Thousand","5129659"
"Purchases - Total","2020","Construction of residential and non-residential buildings (412)","Euro Thousand","11453894"
"Purchases - Total","2020","Construction of roads and railways (421)","Euro Thousand","935716"
"Purchases - Total","2020","Construction of utility projects (422)","Euro Thousand","667397"
"Purchases - Total","2020","Construction of other civil engineering projects (429)","Euro Thousand","627599"
"Purchases - Total","2020","Demolition and site preparation (431)","Euro Thousand","525774"
"Purchases - Total","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","5336001"
"Purchases - Total","2020","Building completion and finishing (433)","Euro Thousand","2399723"
"Purchases - Total","2020","Other specialised construction activities (439)","Euro Thousand","2226335"
"Purchases - Total","2020","Construction (41 to 43)","Euro Thousand","29302099"
"Stocks at end of year - Work in progress","2019","Development of building projects (411)","Euro Thousand",""
"Stocks at end of year - Work in progress","2019","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stocks at end of year - Work in progress","2019","Construction of roads and railways (421)","Euro Thousand",""
"Stocks at end of year - Work in progress","2019","Construction of utility projects (422)","Euro Thousand",""
"Stocks at end of year - Work in progress","2019","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stocks at end of year - Work in progress","2019","Demolition and site preparation (431)","Euro Thousand",""
"Stocks at end of year - Work in progress","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stocks at end of year - Work in progress","2019","Building completion and finishing (433)","Euro Thousand",""
"Stocks at end of year - Work in progress","2019","Other specialised construction activities (439)","Euro Thousand",""
"Stocks at end of year - Work in progress","2019","Construction (41 to 43)","Euro Thousand",""
"Stocks at end of year - Work in progress","2020","Development of building projects (411)","Euro Thousand",""
"Stocks at end of year - Work in progress","2020","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stocks at end of year - Work in progress","2020","Construction of roads and railways (421)","Euro Thousand",""
"Stocks at end of year - Work in progress","2020","Construction of utility projects (422)","Euro Thousand",""
"Stocks at end of year - Work in progress","2020","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stocks at end of year - Work in progress","2020","Demolition and site preparation (431)","Euro Thousand",""
"Stocks at end of year - Work in progress","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stocks at end of year - Work in progress","2020","Building completion and finishing (433)","Euro Thousand",""
"Stocks at end of year - Work in progress","2020","Other specialised construction activities (439)","Euro Thousand",""
"Stocks at end of year - Work in progress","2020","Construction (41 to 43)","Euro Thousand",""
"Stocks at end of year - Unsold finished work","2019","Development of building projects (411)","Euro Thousand",""
"Stocks at end of year - Unsold finished work","2019","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stocks at end of year - Unsold finished work","2019","Construction of roads and railways (421)","Euro Thousand",""
"Stocks at end of year - Unsold finished work","2019","Construction of utility projects (422)","Euro Thousand",""
"Stocks at end of year - Unsold finished work","2019","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stocks at end of year - Unsold finished work","2019","Demolition and site preparation (431)","Euro Thousand",""
"Stocks at end of year - Unsold finished work","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stocks at end of year - Unsold finished work","2019","Building completion and finishing (433)","Euro Thousand",""
"Stocks at end of year - Unsold finished work","2019","Other specialised construction activities (439)","Euro Thousand",""
"Stocks at end of year - Unsold finished work","2019","Construction (41 to 43)","Euro Thousand",""
"Stocks at end of year - Unsold finished work","2020","Development of building projects (411)","Euro Thousand",""
"Stocks at end of year - Unsold finished work","2020","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stocks at end of year - Unsold finished work","2020","Construction of roads and railways (421)","Euro Thousand",""
"Stocks at end of year - Unsold finished work","2020","Construction of utility projects (422)","Euro Thousand",""
"Stocks at end of year - Unsold finished work","2020","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stocks at end of year - Unsold finished work","2020","Demolition and site preparation (431)","Euro Thousand",""
"Stocks at end of year - Unsold finished work","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stocks at end of year - Unsold finished work","2020","Building completion and finishing (433)","Euro Thousand",""
"Stocks at end of year - Unsold finished work","2020","Other specialised construction activities (439)","Euro Thousand",""
"Stocks at end of year - Unsold finished work","2020","Construction (41 to 43)","Euro Thousand",""
"Stocks at end of year - Materials and energy","2019","Development of building projects (411)","Euro Thousand",""
"Stocks at end of year - Materials and energy","2019","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stocks at end of year - Materials and energy","2019","Construction of roads and railways (421)","Euro Thousand",""
"Stocks at end of year - Materials and energy","2019","Construction of utility projects (422)","Euro Thousand",""
"Stocks at end of year - Materials and energy","2019","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stocks at end of year - Materials and energy","2019","Demolition and site preparation (431)","Euro Thousand",""
"Stocks at end of year - Materials and energy","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stocks at end of year - Materials and energy","2019","Building completion and finishing (433)","Euro Thousand",""
"Stocks at end of year - Materials and energy","2019","Other specialised construction activities (439)","Euro Thousand",""
"Stocks at end of year - Materials and energy","2019","Construction (41 to 43)","Euro Thousand",""
"Stocks at end of year - Materials and energy","2020","Development of building projects (411)","Euro Thousand",""
"Stocks at end of year - Materials and energy","2020","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stocks at end of year - Materials and energy","2020","Construction of roads and railways (421)","Euro Thousand",""
"Stocks at end of year - Materials and energy","2020","Construction of utility projects (422)","Euro Thousand",""
"Stocks at end of year - Materials and energy","2020","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stocks at end of year - Materials and energy","2020","Demolition and site preparation (431)","Euro Thousand",""
"Stocks at end of year - Materials and energy","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stocks at end of year - Materials and energy","2020","Building completion and finishing (433)","Euro Thousand",""
"Stocks at end of year - Materials and energy","2020","Other specialised construction activities (439)","Euro Thousand",""
"Stocks at end of year - Materials and energy","2020","Construction (41 to 43)","Euro Thousand",""
"Stocks at end of year - Factored goods","2019","Development of building projects (411)","Euro Thousand",""
"Stocks at end of year - Factored goods","2019","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stocks at end of year - Factored goods","2019","Construction of roads and railways (421)","Euro Thousand",""
"Stocks at end of year - Factored goods","2019","Construction of utility projects (422)","Euro Thousand",""
"Stocks at end of year - Factored goods","2019","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stocks at end of year - Factored goods","2019","Demolition and site preparation (431)","Euro Thousand",""
"Stocks at end of year - Factored goods","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stocks at end of year - Factored goods","2019","Building completion and finishing (433)","Euro Thousand",""
"Stocks at end of year - Factored goods","2019","Other specialised construction activities (439)","Euro Thousand",""
"Stocks at end of year - Factored goods","2019","Construction (41 to 43)","Euro Thousand",""
"Stocks at end of year - Factored goods","2020","Development of building projects (411)","Euro Thousand",""
"Stocks at end of year - Factored goods","2020","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stocks at end of year - Factored goods","2020","Construction of roads and railways (421)","Euro Thousand",""
"Stocks at end of year - Factored goods","2020","Construction of utility projects (422)","Euro Thousand",""
"Stocks at end of year - Factored goods","2020","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stocks at end of year - Factored goods","2020","Demolition and site preparation (431)","Euro Thousand",""
"Stocks at end of year - Factored goods","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stocks at end of year - Factored goods","2020","Building completion and finishing (433)","Euro Thousand",""
"Stocks at end of year - Factored goods","2020","Other specialised construction activities (439)","Euro Thousand",""
"Stocks at end of year - Factored goods","2020","Construction (41 to 43)","Euro Thousand",""
"Stocks at end of year - Total","2019","Development of building projects (411)","Euro Thousand",""
"Stocks at end of year - Total","2019","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stocks at end of year - Total","2019","Construction of roads and railways (421)","Euro Thousand",""
"Stocks at end of year - Total","2019","Construction of utility projects (422)","Euro Thousand",""
"Stocks at end of year - Total","2019","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stocks at end of year - Total","2019","Demolition and site preparation (431)","Euro Thousand",""
"Stocks at end of year - Total","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stocks at end of year - Total","2019","Building completion and finishing (433)","Euro Thousand",""
"Stocks at end of year - Total","2019","Other specialised construction activities (439)","Euro Thousand",""
"Stocks at end of year - Total","2019","Construction (41 to 43)","Euro Thousand",""
"Stocks at end of year - Total","2020","Development of building projects (411)","Euro Thousand",""
"Stocks at end of year - Total","2020","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stocks at end of year - Total","2020","Construction of roads and railways (421)","Euro Thousand",""
"Stocks at end of year - Total","2020","Construction of utility projects (422)","Euro Thousand",""
"Stocks at end of year - Total","2020","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stocks at end of year - Total","2020","Demolition and site preparation (431)","Euro Thousand",""
"Stocks at end of year - Total","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stocks at end of year - Total","2020","Building completion and finishing (433)","Euro Thousand",""
"Stocks at end of year - Total","2020","Other specialised construction activities (439)","Euro Thousand",""
"Stocks at end of year - Total","2020","Construction (41 to 43)","Euro Thousand",""
"Stock changes - Work in progress","2019","Development of building projects (411)","Euro Thousand",""
"Stock changes - Work in progress","2019","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stock changes - Work in progress","2019","Construction of roads and railways (421)","Euro Thousand",""
"Stock changes - Work in progress","2019","Construction of utility projects (422)","Euro Thousand",""
"Stock changes - Work in progress","2019","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stock changes - Work in progress","2019","Demolition and site preparation (431)","Euro Thousand",""
"Stock changes - Work in progress","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stock changes - Work in progress","2019","Building completion and finishing (433)","Euro Thousand",""
"Stock changes - Work in progress","2019","Other specialised construction activities (439)","Euro Thousand",""
"Stock changes - Work in progress","2019","Construction (41 to 43)","Euro Thousand",""
"Stock changes - Work in progress","2020","Development of building projects (411)","Euro Thousand",""
"Stock changes - Work in progress","2020","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stock changes - Work in progress","2020","Construction of roads and railways (421)","Euro Thousand",""
"Stock changes - Work in progress","2020","Construction of utility projects (422)","Euro Thousand",""
"Stock changes - Work in progress","2020","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stock changes - Work in progress","2020","Demolition and site preparation (431)","Euro Thousand",""
"Stock changes - Work in progress","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stock changes - Work in progress","2020","Building completion and finishing (433)","Euro Thousand",""
"Stock changes - Work in progress","2020","Other specialised construction activities (439)","Euro Thousand",""
"Stock changes - Work in progress","2020","Construction (41 to 43)","Euro Thousand",""
"Stock changes - Unsold finished work","2019","Development of building projects (411)","Euro Thousand",""
"Stock changes - Unsold finished work","2019","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stock changes - Unsold finished work","2019","Construction of roads and railways (421)","Euro Thousand",""
"Stock changes - Unsold finished work","2019","Construction of utility projects (422)","Euro Thousand",""
"Stock changes - Unsold finished work","2019","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stock changes - Unsold finished work","2019","Demolition and site preparation (431)","Euro Thousand",""
"Stock changes - Unsold finished work","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stock changes - Unsold finished work","2019","Building completion and finishing (433)","Euro Thousand",""
"Stock changes - Unsold finished work","2019","Other specialised construction activities (439)","Euro Thousand",""
"Stock changes - Unsold finished work","2019","Construction (41 to 43)","Euro Thousand",""
"Stock changes - Unsold finished work","2020","Development of building projects (411)","Euro Thousand",""
"Stock changes - Unsold finished work","2020","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stock changes - Unsold finished work","2020","Construction of roads and railways (421)","Euro Thousand",""
"Stock changes - Unsold finished work","2020","Construction of utility projects (422)","Euro Thousand",""
"Stock changes - Unsold finished work","2020","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stock changes - Unsold finished work","2020","Demolition and site preparation (431)","Euro Thousand",""
"Stock changes - Unsold finished work","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
