"Statistic Label","Year","Nace Rev 2 Activity","UNIT","VALUE"
"Persons Engaged - Proprietors and Unpaid Family Workers","2019","Demolition and site preparation (431)","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2019","Electrical, plumbing and other construction installation activities (432)","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2019","Building completion and finishing (433)","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2019","Other specialised construction activities (439)","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2019","Construction (41 to 43)","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2020","Development of building projects (411)","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2020","Construction of residential and non-residential buildings (412)","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2020","Construction of roads and railways (421)","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2020","Construction of utility projects (422)","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2020","Construction of other civil engineering projects (429)","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2020","Demolition and site preparation (431)","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2020","Electrical, plumbing and other construction installation activities (432)","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2020","Building completion and finishing (433)","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2020","Other specialised construction activities (439)","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2020","Construction (41 to 43)","Number",""
"Persons Engaged - Labour only subcontract basis","2019","Development of building projects (411)","Number",""
"Persons Engaged - Labour only subcontract basis","2019","Construction of residential and non-residential buildings (412)","Number",""
"Persons Engaged - Labour only subcontract basis","2019","Construction of roads and railways (421)","Number",""
"Persons Engaged - Labour only subcontract basis","2019","Construction of utility projects (422)","Number",""
"Persons Engaged - Labour only subcontract basis","2019","Construction of other civil engineering projects (429)","Number",""
"Persons Engaged - Labour only subcontract basis","2019","Demolition and site preparation (431)","Number",""
"Persons Engaged - Labour only subcontract basis","2019","Electrical, plumbing and other construction installation activities (432)","Number",""
"Persons Engaged - Labour only subcontract basis","2019","Building completion and finishing (433)","Number",""
"Persons Engaged - Labour only subcontract basis","2019","Other specialised construction activities (439)","Number",""
