"Statistic Label","Year","Persons Engaged","UNIT","VALUE"
"Wages and Salaries - Total","2019","0 - 9","Euro Thousand","1428575"
"Wages and Salaries - Total","2019","10 - 49","Euro Thousand","1338113"
"Wages and Salaries - Total","2019","50 - 249","Euro Thousand","755053"
"Wages and Salaries - Total","2019","250 and over","Euro Thousand","727085"
"Wages and Salaries - Total","2020","0 - 9","Euro Thousand","1240503"
"Wages and Salaries - Total","2020","10 - 49","Euro Thousand","1187461"
"Wages and Salaries - Total","2020","50 - 249","Euro Thousand","703585"
"Wages and Salaries - Total","2020","250 and over","Euro Thousand","753017"
"Labour Costs - Other","2019","0 - 9","Euro Thousand","107736"
"Labour Costs - Other","2019","10 - 49","Euro Thousand","148017"
"Labour Costs - Other","2019","50 - 249","Euro Thousand","90630"
"Labour Costs - Other","2019","250 and over","Euro Thousand","94809"
"Labour Costs - Other","2020","0 - 9","Euro Thousand","91785"
"Labour Costs - Other","2020","10 - 49","Euro Thousand","134759"
"Labour Costs - Other","2020","50 - 249","Euro Thousand","91156"
"Labour Costs - Other","2020","250 and over","Euro Thousand","94740"
"Labour Costs - Total","2019","0 - 9","Euro Thousand","1535901"
"Labour Costs - Total","2019","10 - 49","Euro Thousand","1486130"
"Labour Costs - Total","2019","50 - 249","Euro Thousand","845683"
"Labour Costs - Total","2019","250 and over","Euro Thousand","821894"
"Labour Costs - Total","2020","0 - 9","Euro Thousand","1330409"
"Labour Costs - Total","2020","10 - 49","Euro Thousand","1320809"
"Labour Costs - Total","2020","50 - 249","Euro Thousand","794742"
"Labour Costs - Total","2020","250 and over","Euro Thousand","848714"
"Turnover - Principal","2019","0 - 9","Euro Thousand",""
"Turnover - Principal","2019","10 - 49","Euro Thousand",""
"Turnover - Principal","2019","50 - 249","Euro Thousand",""
"Turnover - Principal","2019","250 and over","Euro Thousand",""
"Turnover - Principal","2020","0 - 9","Euro Thousand",""
"Turnover - Principal","2020","10 - 49","Euro Thousand",""
"Turnover - Principal","2020","50 - 249","Euro Thousand",""
"Turnover - Principal","2020","250 and over","Euro Thousand",""
"Turnover - Subcontractor","2019","0 - 9","Euro Thousand",""
"Turnover - Subcontractor","2019","10 - 49","Euro Thousand",""
"Turnover - Subcontractor","2019","50 - 249","Euro Thousand",""
"Turnover - Subcontractor","2019","250 and over","Euro Thousand",""
"Turnover - Subcontractor","2020","0 - 9","Euro Thousand",""
"Turnover - Subcontractor","2020","10 - 49","Euro Thousand",""
"Turnover - Subcontractor","2020","50 - 249","Euro Thousand",""
"Turnover - Subcontractor","2020","250 and over","Euro Thousand",""
"Turnover - Manufacturing","2019","0 - 9","Euro Thousand",""
"Turnover - Manufacturing","2019","10 - 49","Euro Thousand",""
"Turnover - Manufacturing","2019","50 - 249","Euro Thousand",""
"Turnover - Manufacturing","2019","250 and over","Euro Thousand",""
"Turnover - Manufacturing","2020","0 - 9","Euro Thousand",""
"Turnover - Manufacturing","2020","10 - 49","Euro Thousand",""
"Turnover - Manufacturing","2020","50 - 249","Euro Thousand",""
"Turnover - Manufacturing","2020","250 and over","Euro Thousand",""
"Turnover - Factored goods","2019","0 - 9","Euro Thousand",""
"Turnover - Factored goods","2019","10 - 49","Euro Thousand",""
